基隆市中正區,25.1407924,121.7570647
基隆市七堵區,25.097653,121.7143126
基隆市暖暖區,25.1001834,121.7337443
基隆市安樂區,25.1211808,121.7208917
基隆市仁愛區,25.125069,121.7345653
基隆市信義區,25.1294717,121.7512671
基隆市中山區,25.152899,121.7273633
台北市北投區,25.13333333,121.5
台北市士林區,25.1,121.5166667
台北市內湖區,25.08333333,121.5833333
台北市中山區,25.06666667,121.5333333
台北市南港區,25.05,121.6166667
台北市大同區,25.05,121.5166667
台北市松山區,25.05,121.5666667
台北市信義區,25.03333333,121.5666667
台北市大安區,25.03333333,121.5333333
台北市中正區,25.01666667,121.5166667
台北市文山區,24.98333333,121.55
新北市石門區,25.3,121.5666667
新北市三芝區,25.25,121.5
新北市金山區,25.21666667,121.6333333
新北市萬里區,25.18333333,121.6833333
新北市淡水區,25.16666667,121.4333333
新北市八里區,25.11666667,121.3833333
新北市瑞芳區,25.11666667,121.8166667
新北市林口區,25.08333333,121.3833333
新北市五股區,25.08333333,121.3833333
新北市蘆州區,25.08333333,121.4666667
新北市泰山區,25.06666667,121.4166667
新北市三重區,25.06666667,121.4833333
新北市汐止區,25.06666667,121.65
新北市新莊區,25.03333333,121.45
新北市平溪區,25.03333333,121.7333333
新北市雙溪區,25.03333333,121.85
新北市貢寮區,25.03333333,121.9166667
新北市板橋區,25.01666667,121.45
新北市永和區,25.01666667,121.5
新北市中和區,25,121.4833333
新北市深坑區,25,121.6
新北市樹林區,24.98333333,121.4166667
新北市石碇區,24.98333333,121.65
新北市土城區,24.96666667,121.4333333
新北市鶯歌區,24.95,121.35
新北市新店區,24.95,121.5333333
新北市三峽區,24.93333333,121.3666667
新北市坪林區,24.93333333,121.7
新北市烏來區,24.86666667,121.55
桃園市大園區,25.06666667,121.1833333
桃園市蘆竹區,25.05,121.25
桃園市觀音區,25.03333333,121.0666667
桃園市龜山區,25,121.3333333
桃園市桃園區,24.98333333,121.3
桃園市新屋區,24.96666667,121.1
桃園市平鎮區,24.95,121.2
